PRODUCT_ID |PRODUCT_NAME                                                                                                                                                                                                                                                   |DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |STANDARD_COST|LIST_PRICE |CATEGORY_ID
-----------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------|-----------
          1|G.Skill Ripjaws V Series                                                                                                                                                                                                                                       |Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       450.00|     640.00|          5
          2|Intel Xeon E5-2697 V4                                                                                                                                                                                                                                          |Speed:2.3GHz,Cores:18,TDP:145W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |      2144.00|    2554.00|          1
          3|Corsair CB-9060011-WW                                                                                                                                                                                                                                          |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       573.00|     799.00|          2
          4|AMD 100-505989                                                                                                                                                                                                                                                 |Chipset:FirePro W9100,Memory:32GBCore Clock:930MHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |      2128.00|    2699.00|          2
          5|PNY VCQK6000-PB                                                                                                                                                                                                                                                |Chipset:Quadro K6000,Memory:12GBCore Clock:902MHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |      1740.00|    2290.00|          2
          6|Zotac ZT-P10810A-10P                                                                                                                                                                                                                                           |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       702.00|     849.00|          2
          7|G.Skill Ripjaws V Series                                                                                                                                                                                                                                       |Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       602.00|     680.00|          5
          8|Intel Xeon E5-1650 V4                                                                                                                                                                                                                                          |Speed:3.6GHz,Cores:6,TDP:140W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       535.00|     601.00|          1
          9|Intel Xeon E5-2640 V4                                                                                                                                                                                                                                          |Speed:2.4GHz,Cores:10,TDP:90W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       738.00|     899.00|          1
